id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;i_estratos;i_canastas;ca_canastas;ct_canastas;i_pobreza;ca_pobreza;ct_pobreza;fexp
1;1;1;2;2;2;1;3;1;1;284550.6108;752541.787399124;1;261361.1912;534338.475647056;1352
2;1;1;2;4;3;1;3;3;4;282815.5461;750632.034057529;3;259767.5254;533610.524479664;643
3;1;2;2;1;2;1;2;2;2;142275.3054;520252.983536892;2;130680.5956;357025.75330;2243
4;1;3;2;2;2;1;2;4;5;178711.6641;569066.454536892;3;164147.5774;392645.35900;583
5;1;1;2;4;2;1;3;2;2;357423.3282;853628.543045989;2;328295.1548;610094.638993528;135
6;1;1;2;2;2;1;2;4;5;178711.6641;530269.210890027;3;164147.5774;366490.297053528;748
7;1;1;2;1;2;1;2;2;2;178711.6641;530269.210890027;2;164147.5774;366490.297053528;861
8;1;1;2;2;2;1;2;4;5;142275.3054;481455.739890027;3;130680.5956;330870.691353528;1206
9;1;1;2;2;2;1;2;3;2;142275.3054;484915.553536892;3;130680.5956;335387.64330;1005
10;1;1;2;2;2;1;2;1;1;142275.3054;481455.739890027;1;130680.5956;330870.691353528;154
11;1;3;3;3;2;1;3;2;2;609007.7097;1274123.519784968;2;559376.6958;985621.089242232;333
12;1;2;2;1;2;2;3;5;5;357423.3282;821750.926692854;3;328295.1548;592973.48094;1867
13;1;1;2;2;2;1;3;1;1;320986.9695;801355.258399124;1;294828.1730;569958.081347056;1084
14;1;1;2;1;2;1;2;1;1;178711.6641;530269.210890027;1;164147.5774;366490.297053528;1224
15;1;2;2;1;3;1;2;1;1;142275.3054;481455.739890027;1;130680.5956;330870.691353528;747
16;1;2;2;3;2;1;3;1;1;426825.9162;1008122.344058921;1;392041.7868;757817.84907544960;1541
17;1;3;1;4;2;1;3;3;4;426825.9162;957554.108181896;3;392041.7868;747098.35459;343
18;1;1;2;3;3;1;3;1;1;320986.9695;769477.642045989;1;294828.1730;552836.923293528;927
19;1;2;2;2;2;1;3;2;2;357423.3282;821750.926692854;2;328295.1548;592973.48094;2133
20;1;2;2;2;2;1;2;3;3;178711.6641;533729.024536892;3;164147.5774;371007.24900;679
