id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;estado;categori;t_calocu;t15;t18;t19;t20_1;t21_1;t22_1;t48a_d;t48b_d;t50d_a;t50d_b;t50d_c;t50d_d;t50d_e;t50d_f;t51_d;t23_1_cod;t24_1_cod;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40a;t40b;t40_2;t41_cod_2;t47;t48;t48a;t48b;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;tsd3;tsd6;tsd4;tsd7;tsd7a;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;t40bis_a;t40bis_a2;t40bis_b;t40bis_d;t40bis_f;fexp
1;1;1;1;18;2;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;120000;1;120000;1;240000;120000.0;1;3;2;0;0;0;0;0;1352
1;1;2;1;19;2;6;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;120000;1;120000;1;240000;120000.0;1;3;2;0;0;0;0;0;1352
2;1;1;1;18;2;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;100000;9;100000;9;750000;375000.0;1;3;1;0;0;0;0;0;643
2;1;2;1;46;2;4;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30.0;2;0;2;7500;5;2;2;3;0;1;40331;0;0;0;0;2;1;1;1;1;1;2;1;0;0;0;0;0;1;0;2;9;650000;9;650000;2;0;2;0;2;0;9;650000;9;750000;375000.0;2;4;2;1;0;0;2;0;643
3;1;1;2;18;2;1;5;2;2;4;0;0;0;0;0;1;0;0;1;2;0;0;2;1;2024;3;0;0;0;0;2;2;2;2;2;2;3;9700;55314;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;200000;1;200000;1;200000;200000.0;1;3;4;0;0;0;0;0;2243
4;1;1;3;18;1;1;5;1;0;0;0;0;0;1;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11.0;1;2;1;8502;7;2;1;1;0;1;51112;2;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30000;1;30000;2;0;2;0;1;600000;1;630000;1;630000;630000.0;1;3;1;5;0;0;2;0;583
5;1;1;1;18;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;150000;1;150000;1;450000;225000.0;1;3;5;0;0;0;0;0;135
5;1;2;1;22;1;4;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20.0;2;0;2;2009;1;2;3;3;0;1;32332;0;0;0;0;1;2;2;2;2;2;2;3;0;0;0;0;0;1;0;2;1;200000;1;200000;2;0;2;0;1;100000;1;300000;1;450000;225000.0;1;3;5;4;0;0;1;1;135
6;1;1;1;19;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;600000;1;600000;1;600000;600000.0;1;3;4;0;0;0;0;0;748
7;1;1;1;19;1;1;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;350000;1;350000;1;350000;350000.0;1;3;1;0;0;0;0;0;861
